nconst,primaryName,birthYear,deathYear,profession,tconst
nm0132384,Desmond Campbell,\N,\N,actor,tt0800080
nm0132648,Kevin Campbell,\N,\N,actor,tt10648342
nm0134005,Scott Cannizzaro,\N,\N,actor,tt0478970
nm0134063,Gilles Cannatella,\N,\N,actor,tt2395427
nm0134072,Bobby Cannavale,1970,\N,actor,tt0478970
nm0135047,Rocky Capella,\N,\N,actor,tt10954600
nm0135588,Jonathan Capra,\N,\N,actor,tt1300854
nm0138381,Eric Carmen,1949,2024,actor,tt2015381
nm0138691,Chris Carnel,1963,2020,actor,tt0371746
nm0138691,Chris Carnel,1963,2020,actor,tt1843866
nm0139219,Bruce Carothers,\N,\N,actor,tt0478970
nm0139323,Elisabeth P. Carpenter,\N,\N,actress,tt4154796
nm0140609,Francisco X. Pérez,\N,\N,actor,tt4154796
nm0141005,Tim Carroll,\N,\N,actor,tt0848228
nm0141658,J.H. Carter,\N,\N,actor,tt4154664
nm0141934,Sean Christopher,\N,\N,actor,tt1825683
nm0141934,Sean Christopher,\N,\N,actor,tt4154796
nm0141934,Sean Christopher,\N,\N,actor,tt9114286
nm0141934,Sean Christopher,\N,\N,actor,tt4154756
nm0144180,David Cassidy,1950,2017,actor,tt5095030
nm0144213,Kevin Cassidy,\N,\N,actor,tt1825683
nm0144213,Kevin Cassidy,\N,\N,actor,tt4154796
nm0144213,Kevin Cassidy,\N,\N,actor,tt6791350
nm0144213,Kevin Cassidy,\N,\N,actor,tt5095030
nm0145026,Beto Castillo,\N,\N,actor,tt10872600
nm0145026,Beto Castillo,\N,\N,actor,tt4154756
nm0145045,David Castillo,\N,\N,actor,tt0371746
nm0145354,Neil Castles Jr.,1973,\N,actor,tt1300854
nm0146787,Agustín Cavalieri,\N,\N,actor,tt0458339
nm0148844,Al Cerullo,\N,\N,actor,tt0800080
nm0149150,Richard Cetrone,\N,\N,actor,tt3498820
nm0150210,Simon Chamberlain,\N,\N,actor,tt0800080
nm0150325,Eric Chambers,1960,\N,actor,tt1228705
nm0150505,David Chameides,1969,\N,actor,tt10648342
nm0151142,Victor Chan,\N,\N,actor,tt4154756
nm0152126,Guy Chapellier,\N,\N,actor,tt4154796
nm0152604,George M. Chappell,1960,\N,actor,tt0371746
nm0154459,Mark Chavarria,1968,2017,actor,tt0371746
nm0155536,Andy Cheng,\N,\N,actor,tt9376612
nm0155574,Jackie Cheng,\N,\N,actor,tt1300854
nm0156628,David Chevalier,1978,\N,actor,tt4154756
nm0156748,Hugolin Chevrette-Landesque,\N,\N,actor,tt10872600
nm0157312,Fernando Chien,\N,\N,actor,tt9376612
nm0157796,Tsai Chin,1933,\N,actress,tt9376612
nm0158448,Connie Chiume,1952,2024,actress,tt1825683
nm0158448,Connie Chiume,1952,2024,actress,tt9114286
nm0158846,Kenneth Choi,\N,\N,actor,tt0458339
nm0158846,Kenneth Choi,\N,\N,actor,tt2250912
nm0159134,Gaurav Chopra,1979,\N,actor,tt10648342
nm0159134,Gaurav Chopra,1979,\N,actor,tt4154796
nm0159134,Gaurav Chopra,1979,\N,actor,tt3501632
nm0159134,Gaurav Chopra,1979,\N,actor,tt4154756
nm0162281,Enzo Cilenti,1974,\N,actor,tt2015381
nm0163988,Clark Gregg,1962,\N,actor,tt0848228
nm0164534,Stuart Clark,1962,\N,actor,tt3480822
nm0167024,Robert Clohessy,1957,\N,actor,tt0848228
nm0167207,William Clouter,\N,\N,actor,tt0371746
nm0169174,Alan Cohen,\N,\N,actor,tt0371746
nm0170237,Angelo Colavecchia,\N,\N,actor,tt0800080
nm0170861,K.C. Colebrooke,\N,\N,actor,tt1300854
nm0171078,Jim R. Coleman,\N,\N,actor,tt0478970
nm0171625,Bern Collaço,1966,\N,actor,tt9140554
nm0171712,Kim Collea,\N,\N,actress,tt0371746
nm0172182,Bootsy Collins,1951,\N,actor,tt3896198
nm0172258,David Collins,1962,\N,actor,tt0800080
